Codename,Category,URL,Game,UseMaster,Release,Version
oak-maw,NPC,"https://downloads.weaselmods.net/download/oak-maw",IWD,,2024-09-06,"3.3"
orra,NPC,"https://downloads.weaselmods.net/download/orra",IWD,,2025-12-13,"2.7"
tipps,NPC,"https://downloads.weaselmods.net/download/tipps",IWD,,2025-12-09,"2.4"
tviy,NPC,"https://downloads.weaselmods.net/download/tviy",IWD,,2024-09-06,"2.4"
urchin,NPC,"https://downloads.weaselmods.net/download/urchin",IWD,,2024-01-27,"2.5"
vito,NPC,"https://downloads.weaselmods.net/download/vito",IWD,,2026-01-14,"1.1"
xikaszs-grove-of-chaos,NPC,"https://downloads.weaselmods.net/download/xikaszs-grove-of-chaos",IWD,,2025-12-13,"2.0"
IWD_NPC,NPC,"https://github.com/Pocket-Plane-Group/IWD_NPC",IWD,,2022-09-23,"v9"
MinervaNPC,NPC,"https://github.com/TheArtisanBG/MinervaNPC",IWD,1,2026-02-10,"21e0a31"
KarihiNPC,NPC,"https://github.com/TheArtisanBG/KarihiNPC",IWD,1,2026-02-06,"7478ae3"
IWDEE-Frostforged,ITEMS,"https://github.com/TheArtisanBG/IWDEE-Frostforged",IWD,1,2025-09-25,"1652f9d"
IWD-Nirik-NPC,NPC,"https://github.com/TheArtisanBG/IWD-Nirik-NPC",IWD,1,2025-04-11,"2a1e9a9"
IWD-Guldruk-NPC,NPC,"https://github.com/TheArtisanBG/IWD-Guldruk-NPC",IWD,1,2025-04-11,"1522ddb"
IWD-Athanasios-NPC,NPC,"https://github.com/TheArtisanBG/IWD-Athanasios-NPC",IWD,1,2025-04-11,"035784e"
HoWMod,TWEAKS,"https://github.com/TheArtisanBG/HoWMod",IWD,1,2024-12-25,"7c87f9c"
CassiaNPC,NPC,"https://github.com/Arvendor/CassiaNPC",IWD,,2024-01-20,"8f9af4c"
iwdcrossmod,NPC RELATED,"https://github.com/Gibberlings3/iwdcrossmod",IWD,,2024-12-26,"v5"
findit-iwd,ITEMS,"https://downloads.weaselmods.net/download/findit-iwd",IWD,,2023-03-03,"2.6"
forgeit-iwd,ITEMS,"https://downloads.weaselmods.net/download/forgeit-iwd",IWD,,2024-09-06,"1.9"
itemupgrade_iwd,ITEMS,"https://github.com/Gibberlings3/itemupgrade_iwd",IWD,,2025-01-30,"v7"
iwd_unfinished_business,QUEST,"https://github.com/Gibberlings3/iwd_unfinished_business",IWD,,2025-02-12,"v13"
Icewind-Dale-Graphical-Overhaul,GFX,"https://github.com/Spellhold-Studios/Icewind-Dale-Graphical-Overhaul",IWD,,2026-03-22,"v1,1"
SP_Collection,KITS/NPC,"https://github.com/Gibberlings3/SP_Collection",BG1-BG2-IWD,,2026-03-17,"v16"
PST-UB-reloaded,QUEST,"https://github.com/Argent77/PST-UB-reloaded",PST,,2024-12-07,"v2.4"
A7-BagsOfTorment,ITEMS,"https://github.com/Argent77/A7-BagsOfTorment",PST,,2023-12-09,"v1.3"
A7-LevelUpTweaks,TWEAKS,"https://github.com/Argent77/A7-LevelUpTweaks",PST,,2023-09-08,"v2.7"
A7-ResizeableCombatLog,GFX,"https://github.com/Argent77/A7-ResizeableCombatLog",PST,,2023-09-08,"v1.4"
MortuaryBeGone,QUEST,"https://github.com/aquadrizzt/MortuaryBeGone",PST,,2023-06-21,"v0.11"
PlanarItems,ITEMS,"https://github.com/aquadrizzt/PlanarItems",PST,,2023-04-16,"v0.61"
